sec,nanosec,x,y,z,qx,qy,qz,qw
1742308675,194199218,0.36753983615367164,1.6571488509627446,0.0,0.0,0.0,-0.9789541462179536,-0.20408032634890974
1742308675,208874877,0.353902527137015,1.6630930559773036,0.0,0.0,0.0,-0.9806686968990939,-0.19567551436557684
1742308675,229084320,0.3353978315054834,1.6707838367871857,0.0,0.0,0.0,-0.9828641811574655,-0.18433122740779667
1742308675,254104733,0.31210839013723096,1.6798379324028214,0.0,0.0,0.0,-0.9854179272453639,-0.1701514286259466
1742308675,274054560,0.2930268522720886,1.6866300283944802,0.0,0.0,0.0,-0.9873378535179315,-0.15863153220782983
1742308675,289314154,0.2785009197551557,1.6914213536912273,0.0,0.0,0.0,-0.9886985143045399,-0.14991747000265024
1742308675,308959790,0.25993586540836155,1.6971839269964757,0.0,0.0,0.0,-0.9903167437268705,-0.13882631989002595
1742308675,334228234,0.23560304639707388,1.7041428112913213,0.0,0.0,0.0,-0.992237126313323,-0.12436030381708986
1742308675,349199189,0.22090808215334226,1.7078851325129232,0.0,0.0,0.0,-0.9932865550946401,-0.1156798144371887
1742308675,369113657,0.20155209973762253,1.7124555832120465,0.0,0.0,0.0,-0.9945478040921463,-0.10428166365900501
1742308675,394301941,0.17720343892728566,1.7176184216605328,0.0,0.0,0.0,-0.9959419617507836,-0.08999782677376511
1742308675,409252512,0.16244860795420368,1.7203070026531049,0.0,0.0,0.0,-0.9966830014650528,-0.08138178291616244
1742308675,434257756,0.13754082922646318,1.724401874794159,0.0,0.0,0.0,-0.9977618927094312,-0.06686707303967754
1742308675,454652991,0.11748223277757182,1.7271025407606855,0.0,0.0,0.0,-0.998474292259915,-0.055218544856432496
1742308675,474289827,0.09818599689674798,1.7292433646997292,0.0,0.0,0.0,-0.9990298690857815,-0.04403771876977942
1742308675,489265646,0.08309945779958772,1.7305759979733084,0.0,0.0,0.0,-0.9993763476718842,-0.03531169372892191
1742308675,514164362,0.05797525305186063,1.7323536810802498,0.0,0.0,0.0,-0.9997837722777818,-0.020794438920262257
